team,opponent,wins,losses
nurv,the-deku-scrubs,0,30
gg-no-re,kingdom-of-afternoon-naps,14,91
gg-no-re,noobcoder,66,47
gg-no-re,the-mad-robotanists,0,17
gg-no-re,chios,12,67
gg-no-re,wut,23,78
gg-no-re,420_cultivate_it,28,55
gg-no-re,binary-tree-stars,1,49
gg-no-re,nausicaa,0,29
gg-no-re,the-goldman-clause,0,20
gg-no-re,something-fun,0,31
gg-no-re,needs-review,0,14
gg-no-re,the-bagelers,0,44
gg-no-re,null,2,45
gg-no-re,nurv,21,81
gg-no-re,linymf,25,47
gg-no-re,the-casuals,50,90
gg-no-re,bojibbles,11,62
gg-no-re,u-w0t-m8,0,51
gg-no-re,we-came-for-the-shirts,1,63
gg-no-re,the-great-dequeue-tree,25,76
gg-no-re,failedtomakeateamname_2jpg,0,37
gg-no-re,rest-in-pepperonis,24,46
gg-no-re,oversized-grow-lamp,0,22
gg-no-re,the-ladder-dwellers,32,90
gg-no-re,sudo-team,30,74
gg-no-re,one-man-down,7,26
gg-no-re,ratchet-rockers,19,44
gg-no-re,farm-simulator-2014,0,31
gg-no-re,farally,9,75
gg-no-re,we-came-for-the-food,0,26
gg-no-re,lumate,17,81
gg-no-re,the-ancients-are-at-mac-ten-spittin,0,42
gg-no-re,mendelian-nightmare,12,53
gg-no-re,paper-pumpkin-posse,0,12
gg-no-re,little-team-of-horrors,20,45
gg-no-re,cognitive-play,4,27
gg-no-re,team-gen-knoxx,38,61
gg-no-re,petey-piranha,4,40
gg-no-re,golbat-plants,0,22
gg-no-re,teem-bahd-spelers,0,16
gg-no-re,the-square-roots,0,19
gg-no-re,7-liters-of-darkness,4,32
gg-no-re,tbredblacktree,18,65
gg-no-re,the-deku-scrubs,0,19
linymf,kingdom-of-afternoon-naps,15,42
linymf,noobcoder,64,23
linymf,the-mad-robotanists,0,26
linymf,chios,18,35
linymf,wut,45,47
linymf,binary-tree-stars,1,33
linymf,nausicaa,1,32
linymf,golbat-plants,0,21
linymf,needs-review,0,23
linymf,something-fun,0,39
linymf,the-goldman-clause,0,17
linymf,the-bagelers,0,36
linymf,null,3,44
linymf,nurv,34,29
linymf,gg-no-re,47,25
linymf,paper-pumpkin-posse,0,15
linymf,bojibbles,14,48
linymf,u-w0t-m8,0,36
linymf,the-great-dequeue-tree,25,35
